Start Datetime (hb),BATTERY: es Power (kW),BATTERY: es SOC (%),LOAD: Site Load Original Load (kW),Net Load with Export (kW),PV: solar1 Electric Generation (kW),Net Grid Import (kW),PV Grid Export (kW)
1/1/2022 0:00,0,1,1.241092488,1.241092488,0,1.241092488,0
1/1/2022 1:00,0,1,0.996146592,0.996146592,0,0.996146592,0
1/1/2022 2:00,0,1,0.914302947,0.914302947,0,0.914302947,0
1/1/2022 3:00,0,1,0.911195069,0.911195069,0,0.911195069,0
1/1/2022 4:00,0,1,0.969012115,0.969012115,0,0.969012115,0
1/1/2022 5:00,0,1,1.299662154,1.299662154,0,1.299662154,0
1/1/2022 6:00,0,1,2.068527756,2.068527756,0,2.068527756,0
1/1/2022 7:00,0,1,2.666347433,2.666347433,0,2.666347433,0
1/1/2022 8:00,0,1,2.565673791,1.998055292,0.567618499,1.998055292,0
1/1/2022 9:00,0,1,2.177043357,0.962268355,1.214775002,0.962268355,0
1/1/2022 10:00,0,1,2.011940125,-0.284248378,2.296188503,0,0.284248378
1/1/2022 11:00,0,1,1.908665176,-0.584531327,2.493196503,0,0.584531327
1/1/2022 12:00,0,1,1.785041151,-0.214003351,1.999044502,0,0.214003351
1/1/2022 13:00,0,1,1.696953455,-2.566712042,4.263665497,0,2.566712042
1/1/2022 14:00,0,1,1.651730671,-1.767253828,3.418984499,0,1.767253828
1/1/2022 15:00,0,1,1.750069885,0.055164883,1.694905002,0.055164883,0
1/1/2022 16:00,0,1,2.170273179,1.685889181,0.484383998,1.685889181,0
1/1/2022 17:00,0,1,2.977564018,2.977564018,0,2.977564018,0
1/1/2022 18:00,0,1,3.615268223,3.615268223,0,3.615268223,0
1/1/2022 19:00,0,1,3.631017227,3.631017227,0,3.631017227,0
1/1/2022 20:00,0,1,3.331458452,3.331458452,0,3.331458452,0
1/1/2022 21:00,0,1,2.989772358,2.989772358,0,2.989772358,0
1/1/2022 22:00,0,1,2.408799084,2.408799084,0,2.408799084,0
1/1/2022 23:00,0,1,1.846738443,1.846738443,0,1.846738443,0
1/2/2022 0:00,0,1,1.257961757,1.257961757,0,1.257961757,0
1/2/2022 1:00,0,1,1.041901386,1.041901386,0,1.041901386,0
1/2/2022 2:00,0,1,0.975919846,0.975919846,0,0.975919846,0
1/2/2022 3:00,0,1,0.989606011,0.989606011,0,0.989606011,0
1/2/2022 4:00,0,1,1.059010677,1.059010677,0,1.059010677,0
1/2/2022 5:00,0,1,1.382274899,1.382274899,0,1.382274899,0
1/2/2022 6:00,0,1,2.145033266,2.145033266,0,2.145033266,0
1/2/2022 7:00,0,1,2.687958863,2.687958863,0,2.687958863,0
1/2/2022 8:00,0,1,2.571125587,1.129289086,1.441836501,1.129289086,0
1/2/2022 9:00,0,1,2.20978185,-0.811783648,3.021565498,0,0.811783648
1/2/2022 10:00,0,1,2.106806047,-2.080278953,4.187085,0,2.080278953
1/2/2022 11:00,0,1,2.029481688,-2.814480813,4.843962501,0,2.814480813
1/2/2022 12:00,0,1,1.913228004,-3.063367998,4.976596002,0,3.063367998
1/2/2022 13:00,0,1,1.843058893,-2.778626609,4.621685502,0,2.778626609
1/2/2022 14:00,0,1,1.80815031,-1.963202191,3.771352501,0,1.963202191
1/2/2022 15:00,0,1,1.914629562,-0.526537936,2.441167498,0,0.526537936
1/2/2022 16:00,0,1,2.332659251,1.516114753,0.816544498,1.516114753,0
1/2/2022 17:00,0,1,3.152395108,3.152395108,0,3.152395108,0
1/2/2022 18:00,0,1,3.748434221,3.748434221,0,3.748434221,0
1/2/2022 19:00,0,1,3.751450538,3.751450538,0,3.751450538,0
1/2/2022 20:00,0,1,3.454824848,3.454824848,0,3.454824848,0
1/2/2022 21:00,0,1,3.126430205,3.126430205,0,3.126430205,0
1/2/2022 22:00,0,1,2.553290087,2.553290087,0,2.553290087,0
1/2/2022 23:00,0,1,1.985679175,1.985679175,0,1.985679175,0
1/3/2022 0:00,0,1,1.406039109,1.406039109,0,1.406039109,0
1/3/2022 1:00,0,1,1.156047104,1.156047104,0,1.156047104,0
1/3/2022 2:00,0,1,1.069203219,1.069203219,0,1.069203219,0
1/3/2022 3:00,0,1,1.06023483,1.06023483,0,1.06023483,0
1/3/2022 4:00,0,1,1.108128981,1.108128981,0,1.108128981,0
1/3/2022 5:00,0,1,1.40017921,1.40017921,0,1.40017921,0
1/3/2022 6:00,0,1,2.123150517,2.123150517,0,2.123150517,0
1/3/2022 7:00,0,1,2.743308596,2.743308596,0,2.743308596,0
1/3/2022 8:00,0,1,2.608441117,1.881690617,0.7267505,1.881690617,0
1/3/2022 9:00,0,1,2.22306966,1.812731662,0.410337998,1.812731662,0
1/3/2022 10:00,0,1,2.087900937,0.260893937,1.827007,0.260893937,0
1/3/2022 11:00,0,1,1.981107879,0.468878881,1.512228998,0.468878881,0
1/3/2022 12:00,0,1,1.898162518,-0.090166979,1.988329497,0,0.090166979
1/3/2022 13:00,0,1,1.832109057,-0.165097441,1.997206498,0,0.165097441
1/3/2022 14:00,0,1,1.803317595,0.375909095,1.4274085,0.375909095,0
1/3/2022 15:00,0,1,1.90923149,0.962846491,0.946384999,0.962846491,0
1/3/2022 16:00,0,1,2.341032843,1.792256846,0.548775997,1.792256846,0
1/3/2022 17:00,0,1,3.16305772,3.16305772,0,3.16305772,0
1/3/2022 18:00,0,1,3.761376201,3.761376201,0,3.761376201,0
1/3/2022 19:00,0,1,3.765428252,3.765428252,0,3.765428252,0
1/3/2022 20:00,0,1,3.475145823,3.475145823,0,3.475145823,0
1/3/2022 21:00,0,1,3.153540449,3.153540449,0,3.153540449,0
1/3/2022 22:00,0,1,2.586307257,2.586307257,0,2.586307257,0
1/3/2022 23:00,0,1,2.021943374,2.021943374,0,2.021943374,0
1/4/2022 0:00,0,1,1.451035158,1.451035158,0,1.451035158,0
1/4/2022 1:00,0,1,1.208794742,1.208794742,0,1.208794742,0
1/4/2022 2:00,0,1,1.124568636,1.124568636,0,1.124568636,0
1/4/2022 3:00,0,1,1.117963702,1.117963702,0,1.117963702,0
1/4/2022 4:00,0,1,1.16720208,1.16720208,0,1.16720208,0
1/4/2022 5:00,0,1,1.460382204,1.460382204,0,1.460382204,0
1/4/2022 6:00,0,1,2.183541627,2.183541627,0,2.183541627,0
1/4/2022 7:00,0,1,2.793752836,2.793752836,0,2.793752836,0
1/4/2022 8:00,0,1,2.645646547,1.851029549,0.794616998,1.851029549,0
1/4/2022 9:00,0,1,2.271201637,-0.857929865,3.129131502,0,0.857929865
1/4/2022 10:00,0,1,2.112349211,-1.141587286,3.253936497,0,1.141587286
1/4/2022 11:00,0,1,1.974745166,-2.952455833,4.927200999,0,2.952455833
1/4/2022 12:00,0,1,1.899413022,-3.149351979,5.048765001,0,3.149351979
1/4/2022 13:00,0,1,1.807412543,-2.291738954,4.099151497,0,2.291738954
1/4/2022 14:00,0,1,1.735170521,-2.107497476,3.842667997,0,2.107497476
1/4/2022 15:00,0,1,1.835388361,-0.022815637,1.858203998,0,0.022815637
1/4/2022 16:00,0,1,2.244356819,1.603370319,0.6409865,1.603370319,0
1/4/2022 17:00,0,1,3.076935796,3.076935796,0,3.076935796,0
1/4/2022 18:00,0,1,3.698960084,3.698960084,0,3.698960084,0
1/4/2022 19:00,0,1,3.71621318,3.71621318,0,3.71621318,0
1/4/2022 20:00,0,1,3.432397779,3.432397779,0,3.432397779,0
1/4/2022 21:00,0,1,3.11229415,3.11229415,0,3.11229415,0
1/4/2022 22:00,0,1,2.56582076,2.56582076,0,2.56582076,0
1/4/2022 23:00,0,1,2.018210801,2.018210801,0,2.018210801,0
1/5/2022 0:00,0,1,1.461811096,1.461811096,0,1.461811096,0
1/5/2022 1:00,0,1,1.238337325,1.238337325,0,1.238337325,0
1/5/2022 2:00,0,1,1.157936524,1.157936524,0,1.157936524,0
1/5/2022 3:00,0,1,1.15480752,1.15480752,0,1.15480752,0
1/5/2022 4:00,0,1,1.206716305,1.206716305,0,1.206716305,0
1/5/2022 5:00,0,1,1.516464589,1.516464589,0,1.516464589,0
1/5/2022 6:00,0,1,2.27266611,2.27266611,0,2.27266611,0
1/5/2022 7:00,0,1,2.824520683,2.824520683,0,2.824520683,0
1/5/2022 8:00,0,1,2.725518318,1.232914317,1.492604001,1.232914317,0
1/5/2022 9:00,0,1,2.35998297,-0.737067532,3.097050502,0,0.737067532
1/5/2022 10:00,0,1,2.203880582,-2.056183415,4.260063997,0,2.056183415
1/5/2022 11:00,0,1,2.043478224,-2.851190779,4.894669003,0,2.851190779
1/5/2022 12:00,0,1,1.935632274,-3.113291228,5.048923502,0,3.113291228
1/5/2022 13:00,0,1,1.895868942,-2.782704559,4.678573501,0,2.782704559
1/5/2022 14:00,0,1,1.851535067,-1.242782936,3.094318003,0,1.242782936
1/5/2022 15:00,0,1,2.008516221,-0.082625279,2.0911415,0,0.082625279
1/5/2022 16:00,0,1,2.443604534,1.664242034,0.7793625,1.664242034,0
1/5/2022 17:00,0,1,3.292031609,3.292031609,0,3.292031609,0
1/5/2022 18:00,0,1,3.910294449,3.910294449,0,3.910294449,0
1/5/2022 19:00,0,1,3.954376023,3.954376023,0,3.954376023,0
1/5/2022 20:00,0,1,3.67567375,3.67567375,0,3.67567375,0
1/5/2022 21:00,0,1,3.360416576,3.360416576,0,3.360416576,0
1/5/2022 22:00,0,1,2.818371058,2.818371058,0,2.818371058,0
1/5/2022 23:00,0,1,2.249796773,2.249796773,0,2.249796773,0
1/6/2022 0:00,0,1,1.664956574,1.664956574,0,1.664956574,0
1/6/2022 1:00,0,1,1.416536911,1.416536911,0,1.416536911,0
1/6/2022 2:00,0,1,1.327886671,1.327886671,0,1.327886671,0
1/6/2022 3:00,0,1,1.317944466,1.317944466,0,1.317944466,0
1/6/2022 4:00,0,1,1.365373601,1.365373601,0,1.365373601,0
1/6/2022 5:00,0,1,1.659335116,1.659335116,0,1.659335116,0
1/6/2022 6:00,0,1,2.389316896,2.389316896,0,2.389316896,0
1/6/2022 7:00,0,1,2.974319454,2.974319454,0,2.974319454,0
1/6/2022 8:00,0,1,2.860924333,1.73689283,1.124031503,1.73689283,0
1/6/2022 9:00,0,1,2.485778219,-0.24490678,2.730684999,0,0.24490678
1/6/2022 10:00,0,1,2.331308744,-1.781814256,4.113123,0,1.781814256
1/6/2022 11:00,0,1,2.166018757,-2.583797741,4.749816498,0,2.583797741
1/6/2022 12:00,0,1,2.016514267,-0.603437235,2.619951502,0,0.603437235
1/6/2022 13:00,0,1,1.893422938,-2.67208356,4.565506498,0,2.67208356
1/6/2022 14:00,0,1,1.826802811,-1.281422687,3.108225498,0,1.281422687
1/6/2022 15:00,0,1,1.932305771,0.14939427,1.782911501,0.14939427,0
1/6/2022 16:00,0,1,2.361711149,1.49597665,0.865734499,1.49597665,0
1/6/2022 17:00,0,1,3.210343725,3.210343725,0,3.210343725,0
1/6/2022 18:00,0,1,3.822138834,3.822138834,0,3.822138834,0
1/6/2022 19:00,0,1,3.844328567,3.844328567,0,3.844328567,0
1/6/2022 20:00,0,1,3.563104871,3.563104871,0,3.563104871,0
1/6/2022 21:00,0,1,3.246300957,3.246300957,0,3.246300957,0
1/6/2022 22:00,0,1,2.68584075,2.68584075,0,2.68584075,0
1/6/2022 23:00,0,1,2.121003884,2.121003884,0,2.121003884,0
1/7/2022 0:00,0,1,1.574844897,1.574844897,0,1.574844897,0
1/7/2022 1:00,0,1,1.324559621,1.324559621,0,1.324559621,0
1/7/2022 2:00,0,1,1.234446501,1.234446501,0,1.234446501,0
1/7/2022 3:00,0,1,1.221929111,1.221929111,0,1.221929111,0
1/7/2022 4:00,0,1,1.277091175,1.277091175,0,1.277091175,0
1/7/2022 5:00,0,1,1.583511893,1.583511893,0,1.583511893,0
1/7/2022 6:00,0,1,2.354882242,2.354882242,0,2.354882242,0
1/7/2022 7:00,0,1,2.995441635,2.995441635,0,2.995441635,0
1/7/2022 8:00,0,1,2.831906583,1.352259582,1.479647001,1.352259582,0
1/7/2022 9:00,0,1,2.418290643,-0.621124358,3.039415001,0,0.621124358
1/7/2022 10:00,0,1,2.271119063,-1.896272935,4.167391998,0,1.896272935
1/7/2022 11:00,0,1,2.160384434,-2.677591569,4.837976003,0,2.677591569
1/7/2022 12:00,0,1,2.037549488,-2.977967515,5.015517003,0,2.977967515
1/7/2022 13:00,0,1,1.962237291,-2.709281211,4.671518502,0,2.709281211
1/7/2022 14:00,0,1,1.913771736,-1.925376766,3.839148502,0,1.925376766
1/7/2022 15:00,0,1,2.001584599,0.290312596,1.711272003,0.290312596,0
1/7/2022 16:00,0,1,2.416657424,1.795139926,0.621517498,1.795139926,0
1/7/2022 17:00,0,1,3.267142264,3.267142264,0,3.267142264,0
1/7/2022 18:00,0,1,3.875919503,3.875919503,0,3.875919503,0
1/7/2022 19:00,0,1,3.896238369,3.896238369,0,3.896238369,0
1/7/2022 20:00,0,1,3.60214733,3.60214733,0,3.60214733,0
1/7/2022 21:00,0,1,3.266680166,3.266680166,0,3.266680166,0
1/7/2022 22:00,0,1,2.679743816,2.679743816,0,2.679743816,0
1/7/2022 23:00,0,1,2.094096121,2.094096121,0,2.094096121,0
1/8/2022 0:00,0,1,1.487367144,1.487367144,0,1.487367144,0
1/8/2022 1:00,0,1,1.233647624,1.233647624,0,1.233647624,0
1/8/2022 2:00,0,1,1.147416012,1.147416012,0,1.147416012,0
1/8/2022 3:00,0,1,1.168956733,1.168956733,0,1.168956733,0
1/8/2022 4:00,0,1,1.226279153,1.226279153,0,1.226279153,0
1/8/2022 5:00,0,1,1.558013544,1.558013544,0,1.558013544,0
1/8/2022 6:00,0,1,2.366431584,2.366431584,0,2.366431584,0
1/8/2022 7:00,0,1,2.944572707,2.944572707,0,2.944572707,0
1/8/2022 8:00,0,1,2.802202923,2.171174924,0.631027999,2.171174924,0
1/8/2022 9:00,0,1,2.391575361,0.906658361,1.484917,0.906658361,0
1/8/2022 10:00,0,1,2.245165304,0.446100806,1.799064498,0.446100806,0
1/8/2022 11:00,0,1,2.089848088,-0.223354909,2.313202997,0,0.223354909
1/8/2022 12:00,0,1,1.954787092,-0.886150406,2.840937498,0,0.886150406
1/8/2022 13:00,0,1,1.866783244,0.096576743,1.770206501,0.096576743,0
1/8/2022 14:00,0,1,1.802913318,0.855564818,0.9473485,0.855564818,0
1/8/2022 15:00,0,1,1.88087203,1.049791528,0.831080502,1.049791528,0
1/8/2022 16:00,0,1,2.331467331,1.554704834,0.776762497,1.554704834,0
1/8/2022 17:00,0,1,3.1748187,3.1748187,0,3.1748187,0
1/8/2022 18:00,0,1,3.802215413,3.802215413,0,3.802215413,0
1/8/2022 19:00,0,1,3.833299674,3.833299674,0,3.833299674,0
1/8/2022 20:00,0,1,3.544100938,3.544100938,0,3.544100938,0
1/8/2022 21:00,0,1,3.21684722,3.21684722,0,3.21684722,0
1/8/2022 22:00,0,1,2.643525355,2.643525355,0,2.643525355,0
1/8/2022 23:00,0,1,2.058397329,2.058397329,0,2.058397329,0
1/9/2022 0:00,0,1,1.434766321,1.434766321,0,1.434766321,0
1/9/2022 1:00,0,1,1.210313813,1.210313813,0,1.210313813,0
1/9/2022 2:00,0,1,1.112116482,1.112116482,0,1.112116482,0
1/9/2022 3:00,0,1,1.096392019,1.096392019,0,1.096392019,0
1/9/2022 4:00,0,1,1.11675688,1.11675688,0,1.11675688,0
1/9/2022 5:00,0,1,1.403059059,1.403059059,0,1.403059059,0
1/9/2022 6:00,0,1,2.147600194,2.147600194,0,2.147600194,0
1/9/2022 7:00,0,1,2.707160553,2.707160553,0,2.707160553,0
1/9/2022 8:00,0,1,2.562052277,1.212003276,1.350049001,1.212003276,0
1/9/2022 9:00,0,1,2.149493381,0.449455881,1.7000375,0.449455881,0
1/9/2022 10:00,0,1,1.995080118,-0.508956382,2.5040365,0,0.508956382
1/9/2022 11:00,0,1,1.868146801,-1.025204702,2.893351503,0,1.025204702
1/9/2022 12:00,0,1,1.741074441,-1.361308059,3.1023825,0,1.361308059
1/9/2022 13:00,0,1,1.641696384,-1.103559115,2.745255499,0,1.103559115
1/9/2022 14:00,0,1,1.578358609,-0.383841393,1.962200002,0,0.383841393
1/9/2022 15:00,0,1,1.677367575,-0.149069926,1.826437501,0,0.149069926
1/9/2022 16:00,0,1,2.129498068,1.420011066,0.709487002,1.420011066,0
1/9/2022 17:00,0,1,3.011839864,3.011839864,0,3.011839864,0
1/9/2022 18:00,0,1,3.623685456,3.623685456,0,3.623685456,0
1/9/2022 19:00,0,1,3.646180538,3.646180538,0,3.646180538,0
1/9/2022 20:00,0,1,3.368161875,3.368161875,0,3.368161875,0
1/9/2022 21:00,0,1,3.050398827,3.050398827,0,3.050398827,0
1/9/2022 22:00,0,1,2.503988142,2.503988142,0,2.503988142,0
1/9/2022 23:00,0,1,1.958531443,1.958531443,0,1.958531443,0
1/10/2022 0:00,0,1,1.404202167,1.404202167,0,1.404202167,0
1/10/2022 1:00,0,1,1.18284551,1.18284551,0,1.18284551,0
1/10/2022 2:00,0,1,1.118077037,1.118077037,0,1.118077037,0
1/10/2022 3:00,0,1,1.114638492,1.114638492,0,1.114638492,0
1/10/2022 4:00,0,1,1.179162152,1.179162152,0,1.179162152,0
1/10/2022 5:00,0,1,1.476568784,1.476568784,0,1.476568784,0
1/10/2022 6:00,0,1,2.188338894,2.188338894,0,2.188338894,0
1/10/2022 7:00,0,1,2.797131015,2.797131015,0,2.797131015,0
1/10/2022 8:00,0,1,2.630782394,1.161886392,1.468896002,1.161886392,0
1/10/2022 9:00,0,1,2.202947844,-0.822025156,3.024973,0,0.822025156
1/10/2022 10:00,0,1,2.059480387,-1.380084616,3.439565003,0,1.380084616
1/10/2022 11:00,0,1,1.929626262,-2.271890239,4.201516501,0,2.271890239
1/10/2022 12:00,0,1,1.811046982,-2.864784521,4.675831503,0,2.864784521
1/10/2022 13:00,0,1,1.71605405,-2.839245447,4.555299497,0,2.839245447
1/10/2022 14:00,0,1,1.662672691,-2.113037807,3.775710498,0,2.113037807
1/10/2022 15:00,0,1,1.765646609,-0.022465892,1.788112501,0,0.022465892
1/10/2022 16:00,0,1,2.199412553,1.638644555,0.560767998,1.638644555,0
1/10/2022 17:00,0,1,3.047617649,3.047617649,0,3.047617649,0
1/10/2022 18:00,0,1,3.681947936,3.681947936,0,3.681947936,0
1/10/2022 19:00,0,1,3.719815713,3.719815713,0,3.719815713,0
1/10/2022 20:00,0,1,3.448770895,3.448770895,0,3.448770895,0
1/10/2022 21:00,0,1,3.143985929,3.143985929,0,3.143985929,0
1/10/2022 22:00,0,1,2.58338126,2.58338126,0,2.58338126,0
1/10/2022 23:00,0,1,2.022631971,2.022631971,0,2.022631971,0
1/11/2022 0:00,0,1,1.451897773,1.451897773,0,1.451897773,0
1/11/2022 1:00,0,1,1.213359144,1.213359144,0,1.213359144,0
1/11/2022 2:00,0,1,1.132916954,1.132916954,0,1.132916954,0
1/11/2022 3:00,0,1,1.126168161,1.126168161,0,1.126168161,0
1/11/2022 4:00,0,1,1.177612922,1.177612922,0,1.177612922,0
1/11/2022 5:00,0,1,1.47529766,1.47529766,0,1.47529766,0
1/11/2022 6:00,0,1,2.204623649,2.204623649,0,2.204623649,0
1/11/2022 7:00,0,1,2.79451156,2.79451156,0,2.79451156,0
1/11/2022 8:00,0,1,2.662745433,1.869599436,0.793145997,1.869599436,0
1/11/2022 9:00,0,1,2.236660646,0.595468646,1.641192,0.595468646,0
1/11/2022 10:00,0,1,2.091571721,-0.068885781,2.160457502,0,0.068885781
1/11/2022 11:00,0,1,1.958620716,-0.692216781,2.650837497,0,0.692216781
1/11/2022 12:00,0,1,1.840398818,-1.718997183,3.559396001,0,1.718997183
1/11/2022 13:00,0,1,1.741924378,-1.133853625,2.875778003,0,1.133853625
1/11/2022 14:00,0,1,1.688865249,-0.893995752,2.582861001,0,0.893995752
1/11/2022 15:00,0,1,1.793286056,0.912475055,0.880811001,0.912475055,0
1/11/2022 16:00,0,1,2.226778062,1.760893062,0.465885,1.760893062,0
1/11/2022 17:00,0,1,3.071527758,3.071527758,0,3.071527758,0
1/11/2022 18:00,0,1,3.689324802,3.689324802,0,3.689324802,0
1/11/2022 19:00,0,1,3.712473359,3.712473359,0,3.712473359,0
1/11/2022 20:00,0,1,3.423067737,3.423067737,0,3.423067737,0
1/11/2022 21:00,0,1,3.1047262,3.1047262,0,3.1047262,0
1/11/2022 22:00,0,1,2.545870776,2.545870776,0,2.545870776,0
1/11/2022 23:00,0,1,1.984377696,1.984377696,0,1.984377696,0
1/12/2022 0:00,0,1,1.412464746,1.412464746,0,1.412464746,0
1/12/2022 1:00,0,1,1.172514266,1.172514266,0,1.172514266,0
1/12/2022 2:00,0,1,1.088741772,1.088741772,0,1.088741772,0
1/12/2022 3:00,0,1,1.073915767,1.073915767,0,1.073915767,0
1/12/2022 4:00,0,1,1.120037686,1.120037686,0,1.120037686,0
1/12/2022 5:00,0,1,1.413284856,1.413284856,0,1.413284856,0
1/12/2022 6:00,0,1,2.14098002,2.14098002,0,2.14098002,0
1/12/2022 7:00,0,1,2.751481602,2.751481602,0,2.751481602,0
1/12/2022 8:00,0,1,2.567445772,1.617383274,0.950062498,1.617383274,0
1/12/2022 9:00,0,1,2.159552868,0.48161637,1.677936498,0.48161637,0
1/12/2022 10:00,0,1,2.012534717,-0.166379783,2.1789145,0,0.166379783
1/12/2022 11:00,0,1,1.88009026,-0.461868737,2.341958997,0,0.461868737
1/12/2022 12:00,0,1,1.764711436,-1.059969563,2.824680999,0,1.059969563
1/12/2022 13:00,0,1,1.688454046,-1.370369456,3.058823502,0,1.370369456
1/12/2022 14:00,0,1,1.642199177,-0.848280325,2.490479502,0,0.848280325
1/12/2022 15:00,0,1,1.771551849,-0.82947565,2.601027499,0,0.82947565
1/12/2022 16:00,0,1,2.21359045,1.627331952,0.586258498,1.627331952,0
1/12/2022 17:00,0,1,3.076199293,3.076199293,0,3.076199293,0
1/12/2022 18:00,0,1,3.677815214,3.677815214,0,3.677815214,0
1/12/2022 19:00,0,1,3.704729192,3.704729192,0,3.704729192,0
1/12/2022 20:00,0,1,3.429674857,3.429674857,0,3.429674857,0
1/12/2022 21:00,0,1,3.121597963,3.121597963,0,3.121597963,0
1/12/2022 22:00,0,1,2.562915012,2.562915012,0,2.562915012,0
1/12/2022 23:00,0,1,1.995259754,1.995259754,0,1.995259754,0
1/13/2022 0:00,0,1,1.436338088,1.436338088,0,1.436338088,0
1/13/2022 1:00,0,1,1.1951084,1.1951084,0,1.1951084,0
1/13/2022 2:00,0,1,1.11435515,1.11435515,0,1.11435515,0
1/13/2022 3:00,0,1,1.0983408,1.0983408,0,1.0983408,0
1/13/2022 4:00,0,1,1.149797299,1.149797299,0,1.149797299,0
1/13/2022 5:00,0,1,1.478586886,1.478586886,0,1.478586886,0
1/13/2022 6:00,0,1,2.238192143,2.238192143,0,2.238192143,0
1/13/2022 7:00,0,1,2.78681528,2.78681528,0,2.78681528,0
1/13/2022 8:00,0,1,2.652529216,2.020695216,0.631834,2.020695216,0
1/13/2022 9:00,0,1,2.277582565,-0.305399935,2.5829825,0,0.305399935
1/13/2022 10:00,0,1,2.128585862,-1.358692135,3.487277997,0,1.358692135
1/13/2022 11:00,0,1,2.014652151,-2.05151935,4.066171501,0,2.05151935
1/13/2022 12:00,0,1,1.886637198,-2.4194948,4.306131998,0,2.4194948
1/13/2022 13:00,0,1,1.839386736,-2.146778762,3.986165498,0,2.146778762
1/13/2022 14:00,0,1,1.788092017,-1.240296983,3.028389,0,1.240296983
1/13/2022 15:00,0,1,1.897213821,0.103935824,1.793277997,0.103935824,0
1/13/2022 16:00,0,1,2.355931543,1.733249042,0.622682501,1.733249042,0
1/13/2022 17:00,0,1,3.219943816,3.219943816,0,3.219943816,0
1/13/2022 18:00,0,1,3.879604929,3.879604929,0,3.879604929,0
1/13/2022 19:00,0,1,3.89838164,3.89838164,0,3.89838164,0
1/13/2022 20:00,0,1,3.643337384,3.643337384,0,3.643337384,0
1/13/2022 21:00,0,1,3.326476349,3.326476349,0,3.326476349,0
1/13/2022 22:00,0,1,2.788269618,2.788269618,0,2.788269618,0
1/13/2022 23:00,0,1,2.252814201,2.252814201,0,2.252814201,0
1/14/2022 0:00,0,1,1.686613524,1.686613524,0,1.686613524,0
1/14/2022 1:00,0,1,1.428291618,1.428291618,0,1.428291618,0
1/14/2022 2:00,0,1,1.33603047,1.33603047,0,1.33603047,0
1/14/2022 3:00,0,1,1.325080259,1.325080259,0,1.325080259,0
1/14/2022 4:00,0,1,1.380231165,1.380231165,0,1.380231165,0
1/14/2022 5:00,0,1,1.699140388,1.699140388,0,1.699140388,0
1/14/2022 6:00,0,1,2.482542995,2.482542995,0,2.482542995,0
1/14/2022 7:00,0,1,3.097050074,3.097050074,0,3.097050074,0
1/14/2022 8:00,0,1,3.000487757,1.889046755,1.111441002,1.889046755,0
1/14/2022 9:00,0,1,2.630994386,0.950081887,1.680912499,0.950081887,0
1/14/2022 10:00,0,1,2.460998337,0.796645339,1.664352998,0.796645339,0
1/14/2022 11:00,0,1,2.278313234,-0.217212267,2.495525501,0,0.217212267
1/14/2022 12:00,0,1,2.138048494,-0.075748007,2.213796501,0,0.075748007
1/14/2022 13:00,0,1,2.014455115,-0.579129886,2.593585001,0,0.579129886
1/14/2022 14:00,0,1,1.948159342,0.47077234,1.477387002,0.47077234,0
1/14/2022 15:00,0,1,2.047433374,0.333250372,1.714183002,0.333250372,0
1/14/2022 16:00,0,1,2.483839738,2.044208735,0.439631003,2.044208735,0
1/14/2022 17:00,0,1,3.360572423,3.360572423,0,3.360572423,0
1/14/2022 18:00,0,1,3.998425806,3.998425806,0,3.998425806,0
1/14/2022 19:00,0,1,4.038472323,4.038472323,0,4.038472323,0
1/14/2022 20:00,0,1,3.774910267,3.774910267,0,3.774910267,0
1/14/2022 21:00,0,1,3.443433478,3.443433478,0,3.443433478,0
1/14/2022 22:00,0,1,2.878008865,2.878008865,0,2.878008865,0
1/14/2022 23:00,0,1,2.287890887,2.287890887,0,2.287890887,0
1/15/2022 0:00,0,1,1.681726889,1.681726889,0,1.681726889,0
1/15/2022 1:00,0,1,1.428244344,1.428244344,0,1.428244344,0
1/15/2022 2:00,0,1,1.335952016,1.335952016,0,1.335952016,0
1/15/2022 3:00,0,1,1.325008093,1.325008093,0,1.325008093,0
1/15/2022 4:00,0,1,1.380253219,1.380253219,0,1.380253219,0
1/15/2022 5:00,0,1,1.699452452,1.699452452,0,1.699452452,0
1/15/2022 6:00,0,1,2.483399232,2.483399232,0,2.483399232,0
1/15/2022 7:00,0,1,3.098064175,3.098064175,0,3.098064175,0
1/15/2022 8:00,0,1,2.994123519,1.649436518,1.344687001,1.649436518,0
1/15/2022 9:00,0,1,2.574042047,-0.076135455,2.650177502,0,0.076135455
1/15/2022 10:00,0,1,2.420271293,-1.63659921,4.056870503,0,1.63659921
1/15/2022 11:00,0,1,2.252512034,-1.916890966,4.169403,0,1.916890966
1/15/2022 12:00,0,1,2.122131342,-2.539001659,4.661133001,0,2.539001659
1/15/2022 13:00,0,1,2.031767842,-2.144035657,4.175803499,0,2.144035657
1/15/2022 14:00,0,1,1.961442275,-1.164892727,3.126335002,0,1.164892727
1/15/2022 15:00,0,1,2.062956652,0.023584149,2.039372503,0.023584149,0
1/15/2022 16:00,0,1,2.501457306,1.524099309,0.977357997,1.524099309,0
1/15/2022 17:00,0,1,3.362426335,3.362426335,0,3.362426335,0
1/15/2022 18:00,0,1,4.01556656,4.01556656,0,4.01556656,0
1/15/2022 19:00,0,1,4.052446765,4.052446765,0,4.052446765,0
1/15/2022 20:00,0,1,3.788222718,3.788222718,0,3.788222718,0
1/15/2022 21:00,0,1,3.459235821,3.459235821,0,3.459235821,0
1/15/2022 22:00,0,1,2.880139021,2.880139021,0,2.880139021,0
